noise_removal1,combination,selection,noise_removal2,transformation,core,err_min,err_mean,err_median,err_90prctile,err_max,rmse
none,pca,xy,wavelet,abs,fft,"0,245853","29,99412","7,249108","27,718937","29,99412","16,288402"
smooth,none,yz,none,abs,wavelet,"0,580294","58,057218","7,257471","38,825922","58,057218","20,322118"
smooth,none,yz,smooth,abs,wavelet,"0,580294","58,057218","7,257471","38,825922","58,057218","20,322118"
smooth,none,yz,bandpass,abs,wavelet,"0,580294","58,057218","7,257471","38,825922","58,057218","20,322118"
smooth,none,yz,wavelet,abs,wavelet,"0,580294","58,057218","7,257471","38,825922","58,057218","20,322118"
bandpass,none,z,none,abs,corr,"1,243529","20,60662","7,278013","18,635373","20,60662","10,45085"
bandpass,none,z,smooth,abs,corr,"1,243529","20,60662","7,278013","18,635373","20,60662","10,45085"
bandpass,none,z,bandpass,abs,corr,"1,243529","20,60662","7,278013","18,635373","20,60662","10,45085"
bandpass,none,z,wavelet,abs,corr,"1,243529","20,60662","7,278013","18,635373","20,60662","10,45085"
none,pca,xyz,none,none,wavelet,"0,94476","29,249231","7,386502","21,362487","29,249231","12,610086"
none,pca,xyz,smooth,none,wavelet,"0,94476","29,249231","7,386502","21,362487","29,249231","12,610086"
none,pca,xyz,bandpass,none,wavelet,"0,94476","29,249231","7,386502","21,362487","29,249231","12,610086"
none,pca,xyz,wavelet,none,wavelet,"0,94476","29,249231","7,386502","21,362487","29,249231","12,610086"
wavelet,pca,z,none,abs,wavelet,"0,818589","56,848546","7,39744","32,447818","56,848546","18,983124"
wavelet,pca,z,smooth,abs,wavelet,"0,818589","56,848546","7,39744","32,447818","56,848546","18,983124"
wavelet,pca,z,bandpass,abs,wavelet,"0,818589","56,848546","7,39744","32,447818","56,848546","18,983124"
wavelet,pca,z,wavelet,abs,wavelet,"0,818589","56,848546","7,39744","32,447818","56,848546","18,983124"
none,pca,yz,none,none,wavelet,"0,947079","41,174458","7,402507","23,771469","41,174458","14,888743"
none,pca,yz,smooth,none,wavelet,"0,947079","41,174458","7,402507","23,771469","41,174458","14,888743"
none,pca,yz,bandpass,none,wavelet,"0,947079","41,174458","7,402507","23,771469","41,174458","14,888743"
none,pca,yz,wavelet,none,wavelet,"0,947079","41,174458","7,402507","23,771469","41,174458","14,888743"
wavelet,none,xyz,none,none,corr,"0,116843","21,924787","7,404342","21,528303","21,924787","13,026467"
wavelet,none,xyz,smooth,none,corr,"0,116843","21,924787","7,404342","21,528303","21,924787","13,026467"
wavelet,none,xyz,bandpass,none,corr,"0,116843","21,924787","7,404342","21,528303","21,924787","13,026467"
